count	compiler	action	outcome
1	c0	check	reject:sealed-trait-implementation
1	c0	check	reject:suspending-defer
1	c0	check	reject:trait-method-signature
1	c0	check	reject:unsaturated-enum-constructor
1	c0	check	reject:unsupported-match-subject
1	c0	check	reject:unsupported-string-indexing
1	c0	parse	reject:comparison-chaining
1	c0	parse	reject:generic-arity
1	c0	parse	reject:missing-let
1	c0	parse	reject:mutable-field-modifier
1	c0	parse	reject:nonfinal-positional-spread
1	c0	parse	reject:old-export-declaration
1	c0	parse	reject:old-struct-declaration
1	c0	parse	reject:reserved-name
1	c0	parse	reject:trailing-block-position
1	c0	parse	reject:unexpected-bom
1	c0	parse	reject:unsupported-local-default
1	c0	run	panic:index-out-of-bounds
1	c0	run	panic:integer-division-by-zero
1	c0	run	panic:integer-overflow
1	c0	run	panic:suspension-nested-driver
1	c0	run	reject:ambiguous-method
1	c0	run	reject:binding-not-yet-visible
1	c0	run	reject:break-outside-loop
1	c0	run	reject:defer-outside-cleanup-scope
1	c0	run	reject:duplicate-data-pattern-field
1	c0	run	reject:duplicate-embedded-field
1	c0	run	reject:duplicate-impl-member
1	c0	run	reject:duplicate-trait-member
1	c0	run	reject:duplicate-variant
1	c0	run	reject:generic-type-mismatch
1	c0	run	reject:impure-enum-default
1	c0	run	reject:impure-parameter-default
1	c0	run	reject:invalid-assignment-target
1	c0	run	reject:invalid-map-key
1	c0	run	reject:missing-partial-ord
1	c0	run	reject:nil-needs-optional-type
1	c0	run	reject:no-common-type
1	c0	run	reject:non-reassignable-parameter-binding
1	c0	run	reject:nonfinal-positional-spread
1	c0	run	reject:nonnumeric-unary-plus
1	c0	run	reject:optional-pattern-requires-optional
1	c0	run	reject:partial-generic-arguments
1	c0	run	reject:recursive-closure-needs-result-type
1	c0	run	reject:reserved-name
1	c0	run	reject:result-constructor-needs-context
1	c0	run	reject:sealed-trait-implementation
1	c0	run	reject:suspending-defer
1	c0	run	reject:trait-method-signature
1	c0	run	reject:unsaturated-enum-constructor
1	c0	run	reject:unsupported-match-subject
1	c0	run	reject:unsupported-string-indexing
1	c0	test	panic:index-out-of-bounds
1	c0	test	panic:integer-division-by-zero
1	c0	test	panic:integer-overflow
1	c0	test	reject:ambiguous-method
1	c0	test	reject:binding-not-yet-visible
1	c0	test	reject:break-outside-loop
1	c0	test	reject:defer-outside-cleanup-scope
1	c0	test	reject:duplicate-data-pattern-field
1	c0	test	reject:duplicate-embedded-field
1	c0	test	reject:duplicate-impl-member
1	c0	test	reject:duplicate-trait-member
1	c0	test	reject:duplicate-variant
1	c0	test	reject:generic-type-mismatch
1	c0	test	reject:impure-enum-default
1	c0	test	reject:impure-parameter-default
1	c0	test	reject:invalid-assignment-target
1	c0	test	reject:invalid-map-key
1	c0	test	reject:missing-partial-ord
1	c0	test	reject:nil-needs-optional-type
1	c0	test	reject:no-common-type
1	c0	test	reject:non-reassignable-parameter-binding
1	c0	test	reject:nonfinal-positional-spread
1	c0	test	reject:nonnumeric-unary-plus
1	c0	test	reject:optional-pattern-requires-optional
1	c0	test	reject:partial-generic-arguments
1	c0	test	reject:recursive-closure-needs-result-type
1	c0	test	reject:reserved-name
1	c0	test	reject:result-constructor-needs-context
1	c0	test	reject:sealed-trait-implementation
1	c0	test	reject:suspending-defer
1	c0	test	reject:trait-method-signature
1	c0	test	reject:unsaturated-enum-constructor
1	c0	test	reject:unsupported-match-subject
1	c0	test	reject:unsupported-string-indexing
1	c1	check	reject:ambiguous-method
1	c1	check	reject:binding-not-yet-visible
1	c1	check	reject:break-outside-loop
1	c1	check	reject:defer-outside-cleanup-scope
1	c1	check	reject:duplicate-data-pattern-field
1	c1	check	reject:duplicate-embedded-field
1	c1	check	reject:duplicate-impl-member
1	c1	check	reject:duplicate-trait-member
1	c1	check	reject:duplicate-variant
1	c1	check	reject:generic-type-mismatch
1	c1	check	reject:impure-enum-default
1	c1	check	reject:impure-parameter-default
1	c1	check	reject:invalid-assignment-target
1	c1	check	reject:invalid-map-key
1	c1	check	reject:missing-partial-ord
1	c1	check	reject:nil-needs-optional-type
1	c1	check	reject:no-common-type
1	c1	check	reject:non-reassignable-parameter-binding
1	c1	check	reject:nonfinal-positional-spread
1	c1	check	reject:nonnumeric-unary-plus
1	c1	check	reject:optional-pattern-requires-optional
1	c1	check	reject:partial-generic-arguments
1	c1	check	reject:recursive-closure-needs-result-type
1	c1	check	reject:reserved-name
1	c1	check	reject:result-constructor-needs-context
1	c1	check	reject:sealed-trait-implementation
1	c1	check	reject:suspending-defer
1	c1	check	reject:trait-method-signature
1	c1	check	reject:unsaturated-enum-constructor
1	c1	check	reject:unsupported-match-subject
1	c1	check	reject:unsupported-string-indexing
1	c1	parse	reject:comparison-chaining
1	c1	parse	reject:generic-arity
1	c1	parse	reject:missing-let
1	c1	parse	reject:mutable-field-modifier
1	c1	parse	reject:nonfinal-positional-spread
1	c1	parse	reject:old-export-declaration
1	c1	parse	reject:old-struct-declaration
1	c1	parse	reject:reserved-name
1	c1	parse	reject:trailing-block-position
1	c1	parse	reject:unexpected-bom
1	c1	parse	reject:unsupported-local-default
1	c1	run	panic:index-out-of-bounds
1	c1	run	panic:integer-division-by-zero
1	c1	run	panic:integer-overflow
1	c1	run	panic:suspension-nested-driver
1	c1	run	reject:ambiguous-method
1	c1	run	reject:binding-not-yet-visible
1	c1	run	reject:break-outside-loop
1	c1	run	reject:defer-outside-cleanup-scope
1	c1	run	reject:duplicate-data-pattern-field
1	c1	run	reject:duplicate-embedded-field
1	c1	run	reject:duplicate-impl-member
1	c1	run	reject:duplicate-trait-member
1	c1	run	reject:duplicate-variant
1	c1	run	reject:generic-type-mismatch
1	c1	run	reject:impure-enum-default
1	c1	run	reject:impure-parameter-default
1	c1	run	reject:invalid-assignment-target
1	c1	run	reject:invalid-map-key
1	c1	run	reject:missing-partial-ord
1	c1	run	reject:nil-needs-optional-type
1	c1	run	reject:no-common-type
1	c1	run	reject:non-reassignable-parameter-binding
1	c1	run	reject:nonfinal-positional-spread
1	c1	run	reject:nonnumeric-unary-plus
1	c1	run	reject:optional-pattern-requires-optional
1	c1	run	reject:partial-generic-arguments
1	c1	run	reject:recursive-closure-needs-result-type
1	c1	run	reject:reserved-name
1	c1	run	reject:result-constructor-needs-context
1	c1	run	reject:sealed-trait-implementation
1	c1	run	reject:suspending-defer
1	c1	run	reject:trait-method-signature
1	c1	run	reject:unsaturated-enum-constructor
1	c1	run	reject:unsupported-match-subject
1	c1	run	reject:unsupported-string-indexing
1	c1	test	panic:index-out-of-bounds
1	c1	test	panic:integer-division-by-zero
1	c1	test	panic:integer-overflow
1	c1	test	reject:ambiguous-method
1	c1	test	reject:binding-not-yet-visible
1	c1	test	reject:break-outside-loop
1	c1	test	reject:defer-outside-cleanup-scope
1	c1	test	reject:duplicate-data-pattern-field
1	c1	test	reject:duplicate-embedded-field
1	c1	test	reject:duplicate-impl-member
1	c1	test	reject:duplicate-trait-member
1	c1	test	reject:duplicate-variant
1	c1	test	reject:generic-type-mismatch
1	c1	test	reject:impure-enum-default
1	c1	test	reject:impure-parameter-default
1	c1	test	reject:invalid-assignment-target
1	c1	test	reject:invalid-map-key
1	c1	test	reject:missing-partial-ord
1	c1	test	reject:nil-needs-optional-type
1	c1	test	reject:no-common-type
1	c1	test	reject:non-reassignable-parameter-binding
1	c1	test	reject:nonfinal-positional-spread
1	c1	test	reject:nonnumeric-unary-plus
1	c1	test	reject:optional-pattern-requires-optional
1	c1	test	reject:partial-generic-arguments
1	c1	test	reject:recursive-closure-needs-result-type
1	c1	test	reject:reserved-name
1	c1	test	reject:result-constructor-needs-context
1	c1	test	reject:sealed-trait-implementation
1	c1	test	reject:suspending-defer
1	c1	test	reject:trait-method-signature
1	c1	test	reject:unsaturated-enum-constructor
1	c1	test	reject:unsupported-match-subject
1	c1	test	reject:unsupported-string-indexing
