path	action	exit	wall_ms	parse_ms	check_ms	emit_ms	assemble_ms	instantiate_ms
test/fixtures/compiler-types/requirements/context-errors/wrong-context-type.hd	check	1	699					
test/fixtures/compiler-types/requirements/context-normalization.hd	check	0	525	0.1	0.2	0.2	7.0	0.2
test/fixtures/compiler-types/requirements/contexts.hd	run --entry main	0	959	0.2	0.2	5.8	6.0	0.2
test/fixtures/compiler-types/requirements/generic-provider-keys/collision.hd	check	1	559					
test/fixtures/compiler-types/requirements/generic-provider-keys/consistent-substitution.hd	check	0	579	0.1	0.2	0.1	6.1	5.5
test/fixtures/compiler-types/requirements/generic-provider-keys/distinct.hd	check	0	671	0.2	0.5	0.2	10.4	0.1
test/fixtures/compiler-types/requirements/generic-provider-keys/occurs-check.hd	check	0	463	0.1	0.2	0.1	6.1	0.1
test/fixtures/compiler-types/requirements/generic-provider-keys/spread-collision.hd	check	1	630					
test/fixtures/compiler-types/requirements/missing-requirement.hd	check	1	616					
test/fixtures/compiler-types/requirements/normalization/explicit-empty-row.hd	check	0	721	0.2	0.3	0.2	11.6	0.3
test/fixtures/compiler-types/requirements/normalization/grouped.hd	check	0	646	0.1	0.1	0.1	6.0	0.1
test/fixtures/compiler-types/requirements/normalization/ungrouped.hd	check	0	687	0.1	0.1	0.1	7.0	6.4
test/fixtures/compiler-types/requirements/provider-errors/missing-provider.hd	check	1	780					
test/fixtures/compiler-types/requirements/provider-errors/wrong-provider-type.hd	check	1	568					
test/fixtures/compiler-types/requirements/provider-scopes.hd	run --entry main	0	1001	0.1	0.2	0.2	8.3	0.5
test/fixtures/compiler-types/requirements/row-forwarding.hd	run --entry main	0	1048	0.3	1.0	1.6	7.0	0.2
test/fixtures/compiler-types/requirements/row-inference/conflicting-row.hd	check	1	557					
test/fixtures/compiler-types/requirements/row-inference/inferred-empty-row.hd	run --entry main	0	814	0.1	0.2	0.2	8.8	2.4
test/fixtures/compiler-types/requirements/row-inference/unavailable-provider.hd	check	1	571					
test/fixtures/compiler-types/requirements/row-multi-forwarding.hd	run --entry main	0	856	0.4	0.3	0.3	13.2	0.4
test/fixtures/compiler-types/requirements/row-pack.hd	run --entry main	0	831	0.2	0.3	0.3	7.7	3.4
test/fixtures/compiler-types/requirements/row-subtraction/absent-subtraction-warning.hd	check	0	651	0.3	0.5	0.4	6.8	0.2
test/fixtures/compiler-types/requirements/row-subtraction/missing-subtracted-provider.hd	check	1	718					
test/fixtures/compiler-types/requirements/row-subtraction/provider-restoration.hd	run --entry main	0	961	0.2	0.3	0.2	11.0	0.5
test/fixtures/compiler-types/requirements/row-union.hd	run --entry main	0	1179	0.2	0.2	0.1	11.4	10.7
test/fixtures/compiler-types/traits/defaults/inherited-method.hd	run --entry main	0	1120	0.2	0.3	0.2	6.1	22.0
test/fixtures/compiler-types/traits/defaults/override.hd	run --entry main	0	990	0.2	0.6	0.2	9.1	0.1
test/fixtures/compiler-types/traits/diagnostics/ambiguous-method.hd	check	1	510					
test/fixtures/compiler-types/traits/diagnostics/mismatched-signature.hd	check	1	509					
test/fixtures/compiler-types/traits/diagnostics/missing-method.hd	check	1	425					
test/fixtures/compiler-types/traits/dispatch.hd	run --entry main	0	732	0.2	0.4	0.3	9.9	0.3
